DAUID,xCoord,yCoord
48061138,-113.93236,51.0574850
48060545,-114.09968,50.9858829
48060123,-114.09463,51.0584841
48062335,-113.97357,50.9130248
48060380,-114.09547,51.1332778
48061096,-113.96126,51.1117777
48061883,-114.18054,51.0282313
48061176,-113.95398,51.0430201
48062246,-114.24607,51.1175615
48061140,-113.92667,51.0572963
48060617,-114.08225,51.0250354
48061336,-114.04067,50.9279862
48061567,-114.10127,51.1412390
48060913,-113.97481,51.0361389
48061190,-113.99630,50.9988447
48060858,-114.05617,51.0574979
48061814,-114.24545,51.1448835
48060981,-113.99284,51.0567213
48060282,-114.15997,51.0989679
48062080,-114.10288,50.9033320
48060237,-114.18251,51.1179017
48061993,-113.94296,51.1240670
48060795,-114.13553,50.9393305
48060710,-114.15738,51.0365371
48061789,-114.16580,51.1468612
48061000,-113.94121,51.0412973
48060199,-114.20558,51.0925292
48060746,-114.10061,51.0125729
48061488,-113.95593,51.0787180
48060383,-114.09556,51.1312113
48062193,-113.97844,50.9338982
48060749,-114.10669,51.0215433
48060445,-114.08118,51.0622212
48061326,-114.10162,50.9528312
48061790,-114.16980,51.1407583
48062200,-114.00879,50.8676429
48060234,-114.19077,51.1195231
48060114,-114.08429,51.0557749
48061600,-114.14087,51.1312563
48062240,-114.17564,51.1423891
48061082,-113.95281,51.1068666
48061342,-114.02903,50.9160439
48062137,-114.08240,50.9667221
48062147,-114.10211,50.9070605
48060329,-114.14455,51.1057314
48060424,-114.10057,51.0895299
48061668,-114.19666,51.1354110
48060558,-114.07362,51.0034137
48060525,-114.10078,50.9591467
48061332,-114.06118,50.9312717
48060899,-114.04821,51.0503366
48060747,-114.10555,51.0181121
48061576,-113.97196,51.0263721
48060877,-114.05501,51.0780412
48061245,-114.00693,50.9132890
48062126,-114.12490,51.0364162
48061331,-114.08443,50.9340601
48060533,-114.08083,50.9517663
48062010,-113.93390,51.0859629
48062360,-114.22543,51.0179456
48061982,-113.92872,51.1156858
48060584,-114.09017,51.0410581
48060357,-114.19162,51.1398661
48062229,-114.14645,51.1453729
48061561,-114.16507,51.1303985
48061011,-113.93767,51.0580763
48061559,-114.18658,51.1320520
48061161,-113.97064,51.0356963
48060907,-113.98845,51.0316654
48061078,-113.94326,51.1091638
48060702,-114.15027,51.0218665
